variables = x y Den P T Ma u v E H
zone i=197 and j=30
0 0 1.228246179702076 101782.5240494684 288.6789480059863 0.003262985812552881 0.2094435323046565 -0.1389658418444657 207171.0965889571 290039.2754035555 42866.44100490597 -436927.1707331495
1.2844594982802e-08 8.012894392913795e-07 1.228104921887891 101770.1372218899 288.6770159925707 0.005939827063942191 -5.462284128898709e-07 -7.418527123859153e-05 207171.3757803016 290038.9999911289 189698.5645922536 -1306577.439214533
5.13651812415929e-08 1.601755499517823e-06 1.22774853291029 101738.8470718373 288.672030165072 0.01032807378661706 -2.488869884964551e-06 -6.933913187556762e-05 207171.9599429044 290038.15292209 370222.6292775942 -2342468.979530033
1.155221762700442e-07 2.400575647692044e-06 1.227184940925061 101689.3477540285 288.6640908381358 0.0148056715532617 -4.151606304070299e-06 -6.459787248092042e-05 207172.7912579982 290036.7051739934 561250.0508906076 -3362665.232643019
2.0524965441885e-07 3.196929042112651e-06 1.226416014543609 101621.8121435049 288.6532411715401 0.01927566704893182 -5.556007234452931e-06 -5.996800908514288e-05 207173.8374027941 290034.6368134965 768301.1683341234 -4359751.921448031
3.204554146387473e-07 3.989997375834481e-06 1.225444864896294 101536.5274610604 288.6395539535903 0.02371007445548303 -6.708129409171981e-06 -5.544804197610276e-05 207175.0635799343 290031.933937852 996225.7161675232 -5326541.390303349
4.610210752233677e-07 4.778965717534308e-06 1.224275771110408 101433.8892152159 288.6231322631048 0.02809221185702895 -7.616306808344575e-06 -5.103897976033167e-05 207176.4345635594 290028.5909110062 1249520.997169518 -6256127.936529769
6.268021954544096e-07 5.56302334890786e-06 1.222914082562626 101314.3910770778 288.6041041541142 0.03240879470616221 -8.286813260705017e-06 -4.673873819616148e-05 207177.9121901443 290024.6063286243 1532335.155277556 -7141963.97830473
8.176284240242637e-07 6.341364597737685e-06 1.221366201689133 101178.6236048605 288.5826235824991 0.03664791531776421 -8.727420114817974e-06 -4.254650292523365e-05 207179.4573146212 290019.9852402133 1848421.370658787 -7977915.523264923
1.033303674083484e-06 7.113189665775811e-06 1.219639513824271 101027.2664475683 288.5588653393235 0.04079834203252795 -8.944835071522661e-06 -3.846096810633526e-05 207181.0273310542 290014.7352153605 2201071.465325261 -8758324.554013558
1.273606324733283e-06 7.877705450590518e-06 1.217742383648085 100861.0882376667 288.5330262055088 0.04484920156907056 -8.946215964256155e-06 -3.448198403432912e-05 207182.5782121344 290008.8687146878 2593056.660461448 -9478057.596130872
1.53828944875599e-06 8.63412636053269e-06 1.215684094671852 100680.93978183 288.5053204806426 0.04878983476943782 -8.738132986296776e-06 -3.061009962079808e-05 207184.0625279181 290002.3998250914 3026571.01352927 -10132556.05348841
1.827081066349457e-06 9.381675121984352e-06 1.213474842105244 100487.7535135948 288.475980790167 0.05260970216327744 -8.327574043898167e-06 -2.68469600248622e-05 207185.4313369015 289995.3463825269 3503184.345868251 -10717874.79809705
2.139684424604688e-06 1.011958357805985e-05 1.211125675768871 100282.5372035229 288.4452542824639 0.05629835269213128 -7.721442360164588e-06 -2.319572048570251e-05 207186.6329343889 289987.727628713 4023799.9887169 -11230722.79242601
2.475778302439522e-06 1.084709347793895e-05 1.208648476674154 100066.3715893071 288.4134020720217 0.05984537323278857 -6.927526407185525e-06 -1.966018933252656e-05 207187.6138876183 289979.5650864129 4588623.750043772 -11668485.87696368
2.835017340674998e-06 1.156345725602088e-05 1.206055909808082 99840.40551054126 288.3806971108974 0.06324042242922193 -5.954112148209845e-06 -1.624684264456278e-05 207188.3194977381 289970.8824103923 5197135.137110492 -12029262.84463327
3.217032396915268e-06 1.226793880009845e-05 1.203361360060275 99605.84882990511 288.3474196690754 0.06647315711832144 -4.811128301529521e-06 -1.296128319072665e-05 207188.6919058876 289961.7021960923 5848077.456400591 -12311860.27231788
3.621430924866345e-06 1.295981420776313e-05 1.200578928883587 99363.97294443581 288.3138601197066 0.06953337878250136 -3.509836202120198e-06 -9.814418388209845e-06 207188.6752207165 289952.0519066795 6539443.173387324 -12515840.70229369
4.047797377703987e-06 1.363837253026372e-05 1.197723260760891 99116.09133542319 288.2803046138418 0.07241084101861436 -2.064537410806366e-06 -6.811643311621651e-06 207188.2057560516 289941.949998501 7268503.827349918 -12641462.70662127
4.495693635076105e-06 1.430291650305424e-05 1.194809594440396 98863.56932522827 288.2470514561683 0.07509568121375793 -4.929429064937096e-07 -3.970278831033625e-06 207187.2297884645 289931.4283794722 8031788.429383062 -12689766.76341043
4.964659453301085e-06 1.49527632622804e-05 1.191853367300624 98607.77571386681 288.2143656555768 0.07757792945093298 1.185400212655452e-06 -1.293420923254018e-06 207185.6689015108 289920.4847066007 8825154.271607202 -12662386.29749471
5.454212938299257e-06 1.558724504646834e-05 1.18887083458072 98350.15817508029 288.1825497193005 0.07984860120727857 2.943384012965566e-06 1.190115408888914e-06 207183.4836330309 289909.1663554533 9643722.292949874 -12561806.44252359
5.96385104077164e-06 1.620570988269471e-05 1.18587766303701 98092.09699185938 288.1518557562005 0.08189819784154144 4.754197336254151e-06 3.491037454672608e-06 207180.5987355736 289897.4704489486 10481985.09251868 -12390864.1523892
6.49305007311711e-06 1.680752225653292e-05 1.182891097530576 97835.08773069497 288.1224956155915 0.08371935109994567 6.585108025980446e-06 5.5473511091364e-06 207176.9390716766 289885.3826630883 11333286.90390265 -12152785.23837843
7.041266247556809e-06 1.739206376508716e-05 1.179931411691522 97580.94701927218 288.0948933359969 0.08530332116656748 8.484374174777543e-06 7.322730994019366e-06 207172.5790936366 289873.0991746678 12190070.20460217 -11852501.22964824
7.607936234912838e-06 1.795873375244319e-05 1.177015101076629 97331.12141321087 288.0693077895693 0.08663960402353753 1.040501513394076e-05 8.874078260667773e-06 207167.4705431388 289860.6460372125 13045146.57899414 -11495491.99066798
8.19247774346708e-06 1.850694992688289e-05 1.174157299856894 97086.91593688921 288.0459162050885 0.08771923574081904 1.227104738354967e-05 1.019052243655949e-05 207161.5357872299 289847.9964930626 13890808.83249837 -11087196.78491144
8.79429011730529e-06 1.903614895922836e-05 1.171374005495901 96849.71848585179 288.0249318638756 0.08853287113553637 1.40628267999432e-05 1.127165769698735e-05 207154.7373943423 289835.1743351864 14718800.82283274 -10633378.1164475
9.41275495353166e-06 1.954578706170075e-05 1.168680617171928 96620.83824901521 288.006483530349 0.08907265602564821 1.572024132112659e-05 1.210140423779649e-05 207147.0127817008 289822.1539439228 15520768.3227382 -10139995.0587884
1.00472367377196e-05 2.003534054669892e-05 1.166092529150565 96401.58039778439 287.9906900544882 0.08933147519352747 1.720327827126056e-05 1.267049721853652e-05 207138.3234215004 289808.9309085418 16288103.29384565 -9613239.558718242
1.069708349694576e-05 2.05043063649239e-05 1.163624458266696 96193.1744782863 287.9776122127994 0.08930376472178544 1.845436285830004e-05 1.296790370464151e-05 207128.630958154 289795.4843199602 17012197.08865826 -9059464.116088003
1.136162746973629e-05 2.095220262229602e-05 1.161290501528786 95996.78807486077 287.9672780933687 0.08898519511985555 1.942187390380212e-05 1.299100527685226e-05 207117.9142638018 289781.8011132843 17684465.44127666 -8485164.857428875
1.204018579223688e-05 2.137856907513366e-05 1.159103769723461 95813.48883805267 287.9596594222218 0.08837308654863653 2.004625388707382e-05 1.2740028700442e-05 207106.1580490941 289767.8578828371 18296521.16596455 -7896838.799306253
1.273206119990155e-05 2.178296760308474e-05 1.157076317436632 95644.24252141675 287.9546820676884 0.08746642121294342 2.027175881913479e-05 1.222140606316202e-05 207093.3611290785 289753.6321634292 18840236.64238297 -7300925.671360592
1.343654274397912e-05 2.2164982659325e-05 1.155218911658868 95489.89092336732 287.9522166452988 0.08626600980251879 2.004024508384106e-05 1.144921998230686e-05 207079.5311024222 289739.0944126217 19307918.28345799 -6703730.517452011
1.415290652206105e-05 2.252422169756048e-05 1.153540938765032 95351.14659159294 287.9520851113681 0.0847746427305819 1.929619344220868e-05 1.044423912510695e-05 207064.68934274 289724.2148948094 19692405.3476283 -6111333.031055274
1.488041642194016e-05 2.286031557539531e-05 1.152050152930851 95228.57046723705 287.9540557659229 0.08299717073046664 1.798778718153926e-05 9.234886204190218e-06 207048.8659306041 289708.95717877 19987199.49366373 -5529477.848975291
1.561832487801565e-05 2.317291893365054e-05 1.150752602413071 95122.57185200465 287.9578613956439 0.08094065797191136 1.606793404818063e-05 7.856082756330096e-06 207032.1107399905 289693.2944322241 20186575.96821985 -4963518.041512428
1.636587363946731e-05 2.346171055124401e-05 1.149652356699129 95033.38451842105 287.9631953618572 0.07861427078910554 1.349810918327421e-05 6.351756390188257e-06 207014.4851773684 289677.2000379431 20285720.74994705 -4418394.931450801
1.712229454940949e-05 2.372639367526672e-05 1.148751659849746 94961.08499135151 287.9697288660362 0.0760294501064481 1.024567785368191e-05 4.774685046449179e-06 206996.0706312853 289660.6609995696 20280956.36878092 -3898458.504521143
1.788681033422419e-05 2.396669632591652e-05 1.148050729401371 94905.57193606062 287.9770993117179 0.07320049151530651 6.286175247893766e-06 3.181575911836987e-06 206976.9586034326 289643.6647318543 20169782.27762257 -3407394.301678657
