variables = x y Den P T Ma u v E H
zone i=197 and j=30
0 0 1.47107 1.39824e+10 82390 0.0219217 820.525 -0 2.37655e+10 3.32704e+10 33.7107 -283.103
1.27961e-05 0.000798264 1.47098 1.39813e+10 82389 0.0246183 5.12816 0 2.37661e+10 3.32708e+10 425.223 -1518.22
5.11713e-05 0.00159571 1.46993 1.39677e+10 82367.4 0.0319134 9.20634 0 2.37627e+10 3.3265e+10 892.269 -2993.61
0.000115086 0.00239151 1.46862 1.39515e+10 82345 0.0413919 9.64837 0 2.37608e+10 3.32606e+10 1268.89 -4527.87
0.000204475 0.00318486 1.467 1.39306e+10 82312.8 0.0517983 11.387 0 2.3758e+10 3.3254e+10 1767.18 -5973.63
0.000319246 0.00397493 1.46516 1.39075e+10 82279.4 0.0625886 13.6774 0 2.37566e+10 3.32487e+10 2240.37 -7442.71
0.000459281 0.00476092 1.46364 1.38885e+10 82252.4 0.0736059 9.37971 -0 2.37588e+10 3.32478e+10 2837.77 -8807.95
0.000624436 0.00554202 1.46205 1.38685e+10 82223.1 0.0846409 10.0821 -0 2.37619e+10 3.32476e+10 3480.03 -10146.4
0.000814542 0.00631742 1.46064 1.38542e+10 82218 0.0956226 2.78752 -0 2.37736e+10 3.32586e+10 3912.81 -11331.1
0.0010294 0.00708634 1.45931 1.38373e+10 82192.3 0.106603 1.96795 -0 2.37809e+10 3.32629e+10 4485.51 -12562.4
0.0012688 0.00784797 1.45781 1.38199e+10 82172.8 0.116813 -8.5875 -0 2.37903e+10 3.32702e+10 5647.47 -13605.8
0.00153248 0.00860153 1.4557 1.3794e+10 82138.1 0.128538 -8.88752 -0 2.37995e+10 3.32754e+10 6322 -14503.7
0.00182018 0.00934626 1.45259 1.37586e+10 82102.6 0.139482 -6.49509 0 2.38085e+10 3.32803e+10 6932.37 -15452.8
0.00213161 0.0100814 1.44916 1.37135e+10 82027.2 0.150784 -10.1609 0 2.38085e+10 3.32716e+10 8233.56 -16350.1
0.00246643 0.0108061 1.44424 1.36593e+10 81981.5 0.162165 4.19335 0 2.38187e+10 3.32765e+10 8675.27 -16874.2
